Prioritet,Fas,Sektion,ID,Testpunkt,Förväntat resultat,Release blocker,Känd issue,Status,Anteckningar,Testare,Datum
0,Förberedelse,,PRE-01,Checkout v0.1.0-rc2 eller senaste master efter taggen,Rätt build testas,Nej,Nej,,,,
0,Förberedelse,,PRE-02,(Valfritt) Radera gammal save för ren start,Ingen gammal progress,Nej,Nej,,,,
0,Förberedelse,,PRE-03,Anteckningsfil redo: PASS / FAIL / steg / screenshot,QA kan dokumenteras,Nej,Nej,,,,
0,Förberedelse,,PRE-04,Första pass i Desktop 1920×1080,Baslinje etablerad,Nej,Nej,,,,
1,Fas 1,1.1 Scen-kopplingar,F1-01,SampleScene: pause-knapp syns under HUD-Canvas / TopLeft i Play,Pause synlig i Play,Nej,Nej,,,,
1,Fas 1,1.1 Scen-kopplingar,F1-02,MainMenuScene: Continue-knapp finns och är kopplad,Continue wired,Nej,Nej,,,,
1,Fas 1,1.2 Kall start,F1-03,Start Game startar gameplay,Gameplay startar,Nej,Nej,,,,
1,Fas 1,1.2 Kall start,F1-04,Settings öppnas,Settings visas,Nej,Nej,,,,
1,Fas 1,1.2 Kall start,F1-05,Continue är dold eller inaktiv när ingen save finns,Continue dold,Nej,Nej,,,,
1,Fas 1,1.2 Kall start,F1-06,Alla knappar går att klicka (inga döda hitboxes),Klick fungerar,Nej,Nej,,,,
1,Fas 1,1.3 Med save,F1-07,Spela ~30 s → Pause → tillbaka till huvudmeny,Tillbaka till meny,Nej,Nej,,,,
1,Fas 1,1.3 Med save,F1-08,Continue syns nu,Continue synlig,Nej,Nej,,,,
1,Fas 1,1.3 Med save,F1-09,Continue återupptar samma våg med rätt currency / HP / liv,Samma run återställs,Nej,Nej,,,,
6,Fas 2,2.1 Audio,F2-01,Master Volume — hörbart lägre/högre direkt,Volym ändras direkt,Nej,Nej,,,,
6,Fas 2,2.1 Audio,F2-02,Music Volume — menymusik påverkas,Musikvolym ändras,Nej,Nej,,,,
6,Fas 2,2.1 Audio,F2-03,SFX Volume — UI-klick / vapen påverkas i gameplay,SFX ändras,Nej,Nej,,,,
6,Fas 2,2.1 Audio,F2-04,Stäng spelet helt → starta om → värden kvar,Audio settings persisterar,Nej,Nej,,,,
6,Fas 2,2.2 Graphics,F2-05,Fullscreen — växlar fönster/fullskärm,Fullscreen fungerar,Nej,Nej,,,,
6,Fas 2,2.2 Graphics,F2-06,Resolution — byt upplösning; bilden ändras,Resolution ändras,Nej,Nej,,,,
6,Fas 2,2.2 Graphics,F2-07,VSync — på/av (kolla tearing eller cap),VSync fungerar,Nej,Nej,,,,
6,Fas 2,2.2 Graphics,F2-08,FPS Limit — Unlimited / 30 / 60 / 120 känns rimligt,FPS cap fungerar,Nej,Nej,,,,
6,Fas 2,2.2 Graphics,F2-09,Starta om spelet → grafikval kvar,Grafik persisterar,Nej,Nej,,,,
6,Fas 2,2.3 Gameplay,F2-10,Screen Shake AV — mindre/inte skak vid träffar,Mindre skak,Nej,Nej,,,,
6,Fas 2,2.3 Gameplay,F2-11,Screen Shake PÅ — skak tillbaka,Skak tillbaka,Nej,Nej,,,,
6,Fas 2,2.3 Gameplay,F2-12,Mouse Sensitivity — låg vs hög påverkar sikte märkbart,Sikte påverkas,Nej,Nej,,,,
6,Fas 2,2.4 Navigation,F2-13,Back → huvudmeny med Start / Settings / Continue synliga och klickbara,Meny återställd,Nej,Nej,,,,
6,Fas 2,2.4 Navigation,F2-14,Parchment/layout OK i Blue Safe Area (1024×768),Ingen klippt text,Nej,Nej,,,,
3,Fas 3,3.1 HUD,F3-01,Topbar: HP ammo vapen bunker vågnummer syns,All HUD-info synlig,Nej,Nej,,,,
3,Fas 3,3.1 HUD,F3-02,Pause (uppe vänster) syns och klickbar,Pause fungerar,Ja,Nej,,,,
3,Fas 3,3.1 HUD,F3-03,Hjärtan (uppe höger) visar 3 liv,3 liv visas,Ja,Nej,,,,
3,Fas 3,3.1 HUD,F3-04,HUD försvinner när shoppen öppnas efter våg,HUD dold i shop,Nej,Nej,,,,
3,Fas 3,3.1 HUD,F3-05,HUD kommer tillbaka när nästa våg startar,HUD tillbaka,Nej,Nej,,,,
3,Fas 3,3.2 Pause → save,F3-06,Pause → huvudmeny (spelet pausas/sparas),Save skapas,Nej,Nej,,,,
